"","NAME","Weight","WeightClass","REACH","SLPM","SAPM","STRA","STRD","TD","TDA","TDD","SUBA"
"1","Frank Mir",264,"heavyweight",79,2.18,3.84,0.47,0.38,2.02,0.4,0.54,2
"2","Juan Miranda",155,"lightweight",NA,0,0,0,0,0,0,0,0
"3","Mario Miranda",185,"middleweight",74,1.96,2.46,0.54,0.36,1.02,0.6,0.54,0
"4","Vitor Miranda",185,"middleweight",77,2.98,2.95,0.45,0.58,0.95,0.55,0.5,0.2
"5","Damir Mirenic",185,"middleweight",NA,0.84,9.86,0.5,0.35,0,0,0,0
"6","Kazuo Misaki",183,"catchweight",NA,2.85,2.74,0.4,0.63,0.72,0.38,0.51,0.6
"7","Toby Misech",145,"featherweight",NA,3.27,7.73,0.4,0.46,0,0,0,0
"8","Dokonjonosuke Mishima",155,"lightweight",NA,1.06,1.22,0.41,0.52,2.47,0.4,0.25,1.4
"10","David Mitchell",170,"welterweight",76,1.74,2.06,0.32,0.55,0.66,0.5,0.29,2
"11","Danny Mitchell",170,"welterweight",74,2.53,2.53,0.49,0.52,0,0,1,3
"12","Brad Mitchell",145,"featherweight",NA,1.15,4.2,0.33,0.52,0,0,1,1.9
"13","Clay Mitchell",185,"middleweight",NA,1.63,0,0.85,0,0,0,1,4.1
"14","Bryce Mitchell",145,"featherweight",NA,1.83,2,0.48,0.59,1.5,0.23,0.33,1.5
"15","Maurice Mitchell",145,"featherweight",NA,3.8,3.54,0.55,0.6,0,0,1,0
"16","Roman Mitichyan",170,"welterweight",NA,0.26,2.7,0.16,0.43,1.93,1,0.25,1.9
"17","Matt Mitrione",265,"heavyweight",79,3.55,2.79,0.5,0.64,0,0,0.55,0.7
"18","Eiji Mitsuoka",145,"featherweight",NA,1.49,2.26,0.49,0.45,2.3,0.36,0.2,1.6
"19","Hiromitsu Miura",170,"welterweight",71,2.12,2.12,0.34,0.58,2.23,0.5,0.69,0.6
"20","Jonathan  Mix",168,"catchweight",NA,0,0,0,0,0,0,0,0
"21","Tomoya Miyashita",139,"catchweight",NA,1.67,0.93,0.65,0.33,4,0.8,0,2
"22","Kazuyuki Miyata",139,"catchweight",NA,2.04,1.82,0.52,0.63,4.31,0.46,0.68,0
"23","Motoki Miyazawa",168,"catchweight",NA,1.23,3.91,0.28,0.61,0,0,0,0
"24","Takeya Mizugaki",135,"bantamweight",68,3.37,3.27,0.37,0.57,1.46,0.57,0.7,0.1
"25","Tatsuya Mizuno",205,"lightheavyweight",NA,2.25,3.52,0.37,0.53,1.19,0.25,0.4,3.6
"26","Roxanne Modafferi",125,"flyweight",69,3.3,5.31,0.31,0.54,1.51,0.2,0.41,0.1
"27","Bobby Moffett",145,"featherweight",73,3.41,3.15,0.39,0.61,2.74,0.66,0.66,1.4
"28","Bronson Mohika",135,"bantamweight",NA,0,0,0,0,0,0,0,0
"29","Nate Mohr",155,"lightweight",72,3.79,2.5,0.41,0.74,0.45,0.5,0.71,0
"30","Thiago Moises",155,"lightweight",70,2.96,3.38,0.45,0.57,1.22,0.36,0.68,1.5
"31","Ashkan Mokhtarian",125,"flyweight",67,1.95,3.66,0.43,0.43,0.54,0.16,0.33,0
"32","Suman Mokhtarian",145,"featherweight",67,2.24,10.3,0.55,0.46,0,0,0,0
"33","Rudyard Moncayo",195,"catchweight",NA,0,0,0,0,0,0,0,0
"34","Hidetaka Monma",168,"catchweight",NA,1.67,9.76,0.25,0.34,0,0,0,0
"35","Jeff Monson",247,"heavyweight",74,0.97,2.87,0.3,0.59,1.06,0.12,0.66,0.7
"36","Darrell Montague",125,"flyweight",67,1.92,5.38,0.25,0.52,0.72,0.25,0.33,1.4
