David "Tank" Abbott
Shamil Abdurakhimov
Daichi Abe
Hiroyuki Abe
Papy Abedi
Cyril Abidi
Daniel Acácio
Bernard Ackah
Akihiko Adachi
Israel Adesanya
Sam Adkins
Peter Aerts
AJ Agazarm
Bashir Ahmad
Katsuhisa Akasaki
Omari Akhmedov
Jin Akimoto
Yoshihiro Akiyama
Mostapha Al-Turk
John Albert
Junior Albini
Ildemar Alcântara
Iuri Alcântara
José Aldo
John Alessio
Houston Alexander
Cosmo Alexandre
Olaf Alfonso
Royce Alger
Sultan Aliev
Ricardo Almeida
Thomas Almeida
Eddie Alvarez
Sean Alvarez
Thiago Alves
Andre Amade
Adlan Amagov
Raul Amaya
Jimmy Ambriz
J.J. Ambrose
Makwan Amirkhani
Karl Amoussou
Bertrand Amoussou-Guenou
Eryk Anders
Corey Anderson
Derek Anderson
Alex Andrade
Giorgio Andrews
Reese Andy
Magomed Ankalaev
Gadzhimurad Antigulov
Kelly Anundson
Erik Apple
Felipe Arantes
Igor Araujo
Andrei Arlovski
Ricardo Arona
Chalid Arrab
Matt Arroyo
Josh Appelt
Cyril Asker
Ben Askren
Raphael Assunção
Leandro Ataides
Bazigit Atajev
Rich Attonito
Fernando Augusto
Marcus Aurélio
Stuart Austin
Blas Avena
David Avellan
Saad Awad
Javy Ayala
Luiz Azeredo
Niklas Bäckström
Ali Bagautinov
Siyar Bahadurzada
Bryan Baker
Oluwale Bamgbose
Antonio Banuelos
Renan Barão
Edson Barboza
Josh Barnett
David Baron
Carlos Barreto
Jason Barrett
Francimar Barroso
Pat Barry
Enrique Barzola
Rudy Bears
Chase Beebe
Lyle Beerbohm
Alan Belcher
Vitor Belfort
Kevin Belingon
Marco Beltrán
Joseph Benavidez
Brandon Bender
Dave Beneteau
Eddy Bengtsson
Gabriel Benítez
Lance Benoist
Ryan Benoit
Steve Berger
Bret Bergmark
Keith Berry
Matt Bessette
Alexandre Bezerra
Arjan Bhullar
Magomed Bibulatov
David Bielkheden
Scott "Bam Bam" Bigelow
Jonas Billstein
Tariel Bitsadze
Todd Bjornethun
Jan Blachowicz
Jason Black
Brad Blackburn
